,Wavelength,Coefficient
1,4340.358398,-9.740071834
2,5110.435547,2.410389945
3,5397.144531,2.017306122
4,5896.348633,1.867626677
5,6562.891113,1.799106525
6,6493.888672,-1.655946761
7,4375.966797,1.050383997
8,4533.931641,-0.934154324
9,4549.597168,-0.849783885
10,5698.568359,0.841607403
11,5950.674316,-0.777121751
12,6252.501953,-0.764453338
13,6141.689453,-0.744367566
14,6449.908691,-0.616632195
15,4772.768066,-0.5735219
16,6470.080078,0.534414696
17,6324.81543,-0.529890164
18,5470.638184,0.494894775
19,6522.654297,0.475512987
20,6320.324707,0.471794399
21,6330.077148,0.401918405
22,6102.661133,-0.388474009
23,6479.954102,0.370317124
24,4934.160156,-0.369312755
25,6663.529297,-0.347878007
26,6293.402344,0.320859955
27,5506.891113,-0.318821885
28,5789.882813,0.299056706
29,4626.246094,-0.282611345
30,5108.9375,0.273417185
31,4547.078613,-0.25066579
32,4787.876953,-0.243672509
33,6173.43457,-0.242743895
34,5042.487305,0.24096607
35,5215.14502,-0.238588461
36,5876.842285,0.236095138
37,6279.600586,0.228845167
38,5937.832031,0.187397395
39,5965.223633,-0.175036856
40,4461.660156,0.157737937